Message ID	Frame counter	Reserved	Message length	GNSS Week Number	GNSS TOW	Timestamp [us]	Bias AccX [m/s²]	Bias AccY [m/s²	]Bias AccZ [m/s²]	Bias OmgX [°/s]	Bias OmgY [°/s]	Bias OmgZ [°/s]	Cov. Longitude [(deg)²]	Cov. Latitude [(deg)²]	Cov. Altitude [(m)²]	Cov. V_North [(m/s)²]	Cov. V_East [(m/s)²]	Cov. V_Down [(m/s)²]	Cov. Roll [(deg²)]	Cov. Pitch [(deg²)]	Cov. Yaw [(deg²)]	Cov. Bias AccX [(m/s²)²]	Cov. Bias AccY [(m/s²)²]	Cov. Bias AccZ [(m/s²)²]	Cov. Bias OmgX [(deg/s)²]	Cov. Bias OmgY [(deg/s)²]	Cov. Bias OmgZ [(deg/s)²]	Reserved
4	 86	 0	 104	 0	 855000	 5002475	 -0.6778	 -0.8090	 -0.2591	 -0.5308	 -0.1466	 +3.8030	 1.009832e-13	 5.600161e-14	 1.738351e+00	 3.609693e-02	 2.541192e-02	 5.023733e-03	 4.570171e-06	 3.754971e-06	 2.333685e-05	 1.348257e-05	 1.090558e-05	 4.476050e-07	 9.712715e-10	 9.271807e-10	 8.088725e-10	 0
4	 87	 0	 104	 0	 856000	 6002475	 -0.6689	 -0.8009	 -0.2564	 -0.5296	 -0.1459	 +3.8038	 8.951819e-14	 5.595163e-14	 1.733113e+00	 3.272778e-02	 2.540058e-02	 4.697552e-03	 4.526910e-06	 3.781598e-06	 2.329702e-05	 1.345379e-05	 1.089054e-05	 4.470607e-07	 9.699048e-10	 9.275862e-10	 8.097990e-10	 0
4	 88	 0	 104	 0	 857000	 7002476	 -0.6605	 -0.7930	 -0.2536	 -0.5286	 -0.1454	 +3.8047	 8.153683e-14	 5.589684e-14	 1.728977e+00	 3.063477e-02	 2.556640e-02	 4.444379e-03	 4.462794e-06	 3.826845e-06	 2.331473e-05	 1.342499e-05	 1.087604e-05	 4.465300e-07	 9.684936e-10	 9.280742e-10	 8.107405e-10	 0
4	 89	 0	 104	 0	 858000	 8002470	 -0.6525	 -0.7853	 -0.2509	 -0.5278	 -0.1450	 +3.8057	 7.570022e-14	 5.584175e-14	 1.725367e+00	 2.929680e-02	 2.586911e-02	 4.236428e-03	 4.380056e-06	 3.878243e-06	 2.335599e-05	 1.339560e-05	 1.086182e-05	 4.459959e-07	 9.670215e-10	 9.286306e-10	 8.116409e-10	 0
4	 90	 0	 104	 0	 859000	 9002470	 -0.6448	 -0.7777	 -0.2482	 -0.5272	 -0.1447	 +3.8068	 7.129720e-14	 5.579045e-14	 1.722021e+00	 2.843086e-02	 2.625920e-02	 4.059890e-03	 4.282145e-06	 3.928364e-06	 2.339894e-05	 1.336540e-05	 1.084777e-05	 4.454503e-07	 9.654838e-10	 9.292458e-10	 8.124639e-10	 0
4	 91	 0	 104	 0	 860000	 2470	 -0.6374	 -0.7702	 -0.2455	 -0.5268	 -0.1445	 +3.8081	 6.791032e-14	 5.574612e-14	 1.718832e+00	 2.787295e-02	 2.670052e-02	 3.906078e-03	 4.173429e-06	 3.972430e-06	 2.342987e-05	 1.333435e-05	 1.083388e-05	 4.448895e-07	 9.638854e-10	 9.299141e-10	 8.131895e-10	 0
4	 92	 0	 104	 0	 861000	 1002470	 -0.6303	 -0.7628	 -0.2429	 -0.5265	 -0.1443	 +3.8094	 6.527481e-14	 5.571115e-14	 1.715767e+00	 2.752168e-02	 2.715627e-02	 3.771883e-03	 4.058572e-06	 4.007199e-06	 2.344083e-05	 1.330248e-05	 1.082017e-05	 4.443120e-07	 9.622350e-10	 9.306305e-10	 8.138093e-10	 0
4	 93	 0	 104	 0	 862000	 2002470	 -0.6237	 -0.7560	 -0.2404	 -0.5262	 -0.1442	 +3.8108	 6.321628e-14	 5.568870e-14	 1.742683e+00	 2.730935e-02	 2.760607e-02	 3.665064e-03	 3.942675e-06	 4.030683e-06	 2.342786e-05	 1.327023e-05	 1.080723e-05	 4.438780e-07	 9.605674e-10	 9.314010e-10	 8.143228e-10	 0
4	 94	 0	 104	 0	 863000	 3002470	 -0.6188	 -0.7509	 -0.2388	 -0.5255	 -0.1437	 +3.8123	 6.161671e-14	 5.568471e-14	 1.891129e+00	 2.719854e-02	 2.804091e-02	 3.615026e-03	 3.831091e-06	 4.041935e-06	 2.339062e-05	 1.323867e-05	 1.079693e-05	 4.440680e-07	 9.589679e-10	 9.322435e-10	 8.147372e-10	 0
4	 95	 0	 104	 0	 864000	 4002470	 -0.6140	 -0.7461	 -0.2372	 -0.5249	 -0.1434	 +3.8137	 6.036342e-14	 5.569173e-14	 2.043047e+00	 2.713261e-02	 2.841359e-02	 3.572675e-03	 3.725495e-06	 4.040511e-06	 2.333041e-05	 1.320665e-05	 1.078711e-05	 4.442417e-07	 9.573533e-10	 9.331186e-10	 8.150666e-10	 0
4	 96	 0	 104	 0	 865000	 5002470	 -0.6094	 -0.7416	 -0.2356	 -0.5245	 -0.1432	 +3.8152	 5.938513e-14	 5.570861e-14	 2.198491e+00	 2.709983e-02	 2.872728e-02	 3.539859e-03	 3.629040e-06	 4.026760e-06	 2.324978e-05	 1.317432e-05	 1.077778e-05	 4.443972e-07	 9.557376e-10	 9.340277e-10	 8.153241e-10	 0
4	 97	 0	 104	 0	 866000	 6002470	 -0.6049	 -0.7372	 -0.2341	 -0.5240	 -0.1431	 +3.8166	 5.862591e-14	 5.573395e-14	 2.357544e+00	 2.708374e-02	 2.897021e-02	 3.516504e-03	 3.544147e-06	 4.001683e-06	 2.315192e-05	 1.314185e-05	 1.076895e-05	 4.445336e-07	 9.541345e-10	 9.349717e-10	 8.155234e-10	 0
4	 98	 0	 104	 0	 867000	 7002470	 -0.6005	 -0.7330	 -0.2325	 -0.5237	 -0.1431	 +3.8179	 5.804099e-14	 5.576607e-14	 2.520292e+00	 2.707450e-02	 2.914046e-02	 3.502977e-03	 3.472511e-06	 3.966697e-06	 2.304123e-05	 1.310939e-05	 1.076060e-05	 4.446497e-07	 9.525567e-10	 9.359509e-10	 8.156807e-10	 0
4	 99	 0	 104	 0	 868000	 8002470	 -0.5961	 -0.7290	 -0.2310	 -0.5233	 -0.1432	 +3.8192	 5.759422e-14	 5.580322e-14	 2.686826e+00	 2.706449e-02	 2.923793e-02	 3.499241e-03	 3.415020e-06	 3.923534e-06	 2.292168e-05	 1.307708e-05	 1.075273e-05	 4.447447e-07	 9.510149e-10	 9.369653e-10	 8.158100e-10	 0
4	 100	 0	 104	 0	 869000	 9002470	 -0.5917	 -0.7251	 -0.2294	 -0.5230	 -0.1433	 +3.8205	 5.725620e-14	 5.584366e-14	 2.857213e+00	 2.705182e-02	 2.927287e-02	 3.505210e-03	 3.371896e-06	 3.874067e-06	 2.279745e-05	 1.304508e-05	 1.074532e-05	 4.448183e-07	 9.495178e-10	 9.380139e-10	 8.159253e-10	 0
4	 101	 0	 104	 0	 870000	 2470	 -0.5874	 -0.7213	 -0.2279	 -0.5227	 -0.1435	 +3.8217	 5.700312e-14	 5.588580e-14	 3.031503e+00	 2.703121e-02	 2.924440e-02	 3.519423e-03	 3.342796e-06	 3.820200e-06	 2.267262e-05	 1.301348e-05	 1.073832e-05	 4.448696e-07	 9.480716e-10	 9.390949e-10	 8.160392e-10	 0
4	 102	 0	 104	 0	 871000	 1002470	 -0.5830	 -0.7177	 -0.2263	 -0.5224	 -0.1436	 +3.8228	 5.681554e-14	 5.592820e-14	 3.209715e+00	 2.700467e-02	 2.915744e-02	 3.539812e-03	 3.326964e-06	 3.763863e-06	 2.255152e-05	 1.298238e-05	 1.073170e-05	 4.448983e-07	 9.466807e-10	 9.402056e-10	 8.161646e-10	 0
4	 103	 0	 104	 0	 872000	 2002470	 -0.5787	 -0.7140	 -0.2247	 -0.5221	 -0.1438	 +3.8239	 5.667788e-14	 5.596951e-14	 3.391839e+00	 2.696690e-02	 2.902599e-02	 3.567165e-03	 3.323275e-06	 3.706849e-06	 2.243803e-05	 1.295189e-05	 1.072542e-05	 4.449039e-07	 9.453455e-10	 9.413421e-10	 8.163134e-10	 0
4	 104	 0	 104	 0	 873000	 3002470	 -0.5743	 -0.7105	 -0.2231	 -0.5217	 -0.1441	 +3.8249	 5.657763e-14	 5.600872e-14	 3.577836e+00	 2.692424e-02	 2.886119e-02	 3.599419e-03	 3.330218e-06	 3.650468e-06	 2.233485e-05	 1.292207e-05	 1.071941e-05	 4.448860e-07	 9.440655e-10	 9.424996e-10	 8.164927e-10	 0
4	 105	 0	 104	 0	 874000	 4002470	 -0.5698	 -0.7069	 -0.2216	 -0.5214	 -0.1443	 +3.8258	 5.650489e-14	 5.604493e-14	 3.767642e+00	 2.687538e-02	 2.866983e-02	 3.635658e-03	 3.346280e-06	 3.595994e-06	 2.224420e-05	 1.289293e-05	 1.071362e-05	 4.448440e-07	 9.428386e-10	 9.436726e-10	 8.167082e-10	 0
4	 106	 0	 104	 0	 875000	 5002470	 -0.5652	 -0.7033	 -0.2199	 -0.5210	 -0.1444	 +3.8268	 5.645184e-14	 5.607756e-14	 3.961175e+00	 2.681953e-02	 2.845717e-02	 3.674980e-03	 3.369867e-06	 3.544477e-06	 2.216773e-05	 1.286449e-05	 1.070800e-05	 4.447777e-07	 9.416607e-10	 9.448554e-10	 8.169637e-10	 0
4	 107	 0	 104	 0	 876000	 6002469	 -0.5606	 -0.6997	 -0.2183	 -0.5206	 -0.1446	 +3.8277	 5.641256e-14	 5.610601e-14	 4.158335e+00	 2.675980e-02	 2.822790e-02	 3.715699e-03	 3.399427e-06	 3.496845e-06	 2.210702e-05	 1.283675e-05	 1.070248e-05	 4.446866e-07	 9.405291e-10	 9.460418e-10	 8.172632e-10	 0
4	 108	 0	 104	 0	 877000	 7002470	 -0.5559	 -0.6961	 -0.2167	 -0.5201	 -0.1447	 +3.8285	 5.638258e-14	 5.612998e-14	 4.359013e+00	 2.669993e-02	 2.799476e-02	 3.757766e-03	 3.433395e-06	 3.453756e-06	 2.206304e-05	 1.280970e-05	 1.069699e-05	 4.445705e-07	 9.394384e-10	 9.472243e-10	 8.176084e-10	 0
4	 109	 0	 104	 0	 878000	 8002469	 -0.5510	 -0.6924	 -0.2150	 -0.5196	 -0.1447	 +3.8293	 5.635870e-14	 5.614926e-14	 4.563090e+00	 2.664286e-02	 2.775477e-02	 3.798444e-03	 3.470258e-06	 3.415719e-06	 2.203675e-05	 1.278331e-05	 1.069147e-05	 4.444289e-07	 9.383846e-10	 9.483960e-10	 8.180014e-10	 0
4	 110	 0	 104	 0	 879000	 9002470	 -0.5462	 -0.6885	 -0.2133	 -0.5191	 -0.1447	 +3.8301	 5.633858e-14	 5.616370e-14	 4.770437e+00	 2.658934e-02	 2.751920e-02	 3.838459e-03	 3.508659e-06	 3.383120e-06	 2.202865e-05	 1.275756e-05	 1.068586e-05	 4.442616e-07	 9.373629e-10	 9.495503e-10	 8.184429e-10	 0
4	 111	 0	 104	 0	 880000	 2470	 -0.5414	 -0.6847	 -0.2116	 -0.5186	 -0.1447	 +3.8309	 5.632078e-14	 5.617334e-14	 4.980936e+00	 2.653530e-02	 2.728433e-02	 3.875335e-03	 3.547455e-06	 3.356324e-06	 2.203944e-05	 1.273244e-05	 1.068011e-05	 4.440685e-07	 9.363688e-10	 9.506798e-10	 8.189344e-10	 0
