Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
928468	 +0.019001	 +0.017771	 +0.023124	 +0.000906	 +0.000800	 +0.000841	 +0.017161	 +0.020788	 +0.105129
933469	 +0.018975	 +0.017770	 +0.023115	 +0.000905	 +0.000801	 +0.000840	 +0.017183	 +0.020761	 +0.105132
938462	 +0.018978	 +0.017763	 +0.023122	 +0.000905	 +0.000801	 +0.000841	 +0.017206	 +0.020735	 +0.105136
943462	 +0.018968	 +0.017764	 +0.023160	 +0.000905	 +0.000800	 +0.000841	 +0.017229	 +0.020710	 +0.105139
948469	 +0.018992	 +0.017763	 +0.023188	 +0.000906	 +0.000801	 +0.000839	 +0.017252	 +0.020685	 +0.105142
953462	 +0.018977	 +0.017759	 +0.023192	 +0.000905	 +0.000801	 +0.000838	 +0.017275	 +0.020660	 +0.105145
958462	 +0.018981	 +0.017763	 +0.023190	 +0.000907	 +0.000801	 +0.000837	 +0.017299	 +0.020635	 +0.105147
963463	 +0.018985	 +0.017742	 +0.023190	 +0.000907	 +0.000802	 +0.000836	 +0.017322	 +0.020611	 +0.105150
968462	 +0.018980	 +0.017728	 +0.023200	 +0.000907	 +0.000800	 +0.000836	 +0.017346	 +0.020586	 +0.105152
973469	 +0.018981	 +0.017748	 +0.023209	 +0.000907	 +0.000800	 +0.000837	 +0.017370	 +0.020563	 +0.105155
978462	 +0.018959	 +0.017786	 +0.023214	 +0.000907	 +0.000800	 +0.000837	 +0.017394	 +0.020539	 +0.105157
983469	 +0.018916	 +0.017788	 +0.023221	 +0.000906	 +0.000800	 +0.000836	 +0.017418	 +0.020516	 +0.105159
988469	 +0.018896	 +0.017789	 +0.023198	 +0.000905	 +0.000800	 +0.000837	 +0.017443	 +0.020493	 +0.105161
993469	 +0.018902	 +0.017783	 +0.023197	 +0.000906	 +0.000799	 +0.000836	 +0.017467	 +0.020471	 +0.105163
998469	 +0.018925	 +0.017757	 +0.023189	 +0.000905	 +0.000798	 +0.000836	 +0.017492	 +0.020449	 +0.105164
1003470	 +0.018937	 +0.017747	 +0.023186	 +0.000903	 +0.000798	 +0.000837	 +0.017517	 +0.020427	 +0.105166
1008469	 +0.018942	 +0.017746	 +0.023184	 +0.000903	 +0.000798	 +0.000837	 +0.017542	 +0.020405	 +0.105167
1008469	 +0.018942	 +0.017746	 +0.023184	 +0.000903	 +0.000798	 +0.000837	 +0.017542	 +0.020405	 +0.105167
1013469	 +0.018943	 +0.017764	 +0.023198	 +0.000900	 +0.000798	 +0.000837	 +0.017567	 +0.020384	 +0.105168
1018469	 +0.018956	 +0.017764	 +0.023199	 +0.000900	 +0.000797	 +0.000838	 +0.017593	 +0.020363	 +0.105170
1023469	 +0.018965	 +0.017755	 +0.023196	 +0.000900	 +0.000797	 +0.000838	 +0.017618	 +0.020342	 +0.105171
1028469	 +0.018950	 +0.017774	 +0.023246	 +0.000899	 +0.000796	 +0.000838	 +0.017644	 +0.020322	 +0.105171
1033469	 +0.018989	 +0.017770	 +0.023278	 +0.000901	 +0.000796	 +0.000838	 +0.017670	 +0.020302	 +0.105172
1038469	 +0.018987	 +0.017770	 +0.023298	 +0.000901	 +0.000795	 +0.000838	 +0.017696	 +0.020282	 +0.105173
1043469	 +0.018997	 +0.017778	 +0.023297	 +0.000901	 +0.000795	 +0.000839	 +0.017722	 +0.020263	 +0.105173
1048469	 +0.018995	 +0.017778	 +0.023297	 +0.000905	 +0.000795	 +0.000839	 +0.017748	 +0.020244	 +0.105174
1053469	 +0.018995	 +0.017778	 +0.023290	 +0.000905	 +0.000795	 +0.000839	 +0.017775	 +0.020225	 +0.105174
1058469	 +0.019005	 +0.017777	 +0.023281	 +0.000906	 +0.000796	 +0.000839	 +0.017802	 +0.020207	 +0.105174
1063469	 +0.018942	 +0.017749	 +0.023273	 +0.000904	 +0.000795	 +0.000839	 +0.017829	 +0.020189	 +0.105174
1068469	 +0.018943	 +0.017749	 +0.023260	 +0.000903	 +0.000798	 +0.000839	 +0.017856	 +0.020171	 +0.105174
1073487	 +0.018949	 +0.017768	 +0.023259	 +0.000903	 +0.000798	 +0.000839	 +0.017883	 +0.020154	 +0.105173
1078521	 +0.018926	 +0.017802	 +0.023309	 +0.000904	 +0.000798	 +0.000840	 +0.017910	 +0.020137	 +0.105173
1083526	 +0.018925	 +0.017833	 +0.023328	 +0.000903	 +0.000800	 +0.000841	 +0.017938	 +0.020120	 +0.105172
1088522	 +0.018933	 +0.017821	 +0.023327	 +0.000903	 +0.000801	 +0.000841	 +0.017961	 +0.020100	 +0.105174
1093472	 +0.018939	 +0.017805	 +0.023376	 +0.000903	 +0.000802	 +0.000842	 +0.017985	 +0.020079	 +0.105176
1098469	 +0.018960	 +0.017817	 +0.023380	 +0.000903	 +0.000803	 +0.000841	 +0.018006	 +0.020050	 +0.105180
1103462	 +0.018979	 +0.017814	 +0.023429	 +0.000903	 +0.000802	 +0.000840	 +0.018027	 +0.020021	 +0.105184
1108462	 +0.019002	 +0.017827	 +0.023429	 +0.000901	 +0.000802	 +0.000840	 +0.018049	 +0.019993	 +0.105187
1113462	 +0.018995	 +0.017826	 +0.023435	 +0.000901	 +0.000800	 +0.000840	 +0.018070	 +0.019965	 +0.105191
1118462	 +0.019013	 +0.017837	 +0.023429	 +0.000902	 +0.000800	 +0.000840	 +0.018092	 +0.019937	 +0.105194
1123462	 +0.019008	 +0.017849	 +0.023429	 +0.000902	 +0.000800	 +0.000838	 +0.018114	 +0.019909	 +0.105197
1128462	 +0.018998	 +0.017849	 +0.023442	 +0.000903	 +0.000801	 +0.000838	 +0.018136	 +0.019882	 +0.105200
1133462	 +0.019013	 +0.017873	 +0.023430	 +0.000903	 +0.000802	 +0.000839	 +0.018158	 +0.019855	 +0.105203
