Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
4357475	 +0.017530	 +0.018276	 +0.023977	 +0.000891	 +0.000861	 +0.000816	 +3.077633	 +0.069524	 +0.191516
4362475	 +0.017530	 +0.018281	 +0.024020	 +0.000891	 +0.000861	 +0.000816	 +3.077677	 +0.069520	 +0.191539
4367475	 +0.017519	 +0.018318	 +0.024028	 +0.000892	 +0.000859	 +0.000816	 +3.077708	 +0.069516	 +0.191560
4372475	 +0.017524	 +0.018310	 +0.024032	 +0.000892	 +0.000858	 +0.000816	 +3.077728	 +0.069512	 +0.191582
4377475	 +0.017524	 +0.018324	 +0.024011	 +0.000892	 +0.000858	 +0.000816	 +3.077735	 +0.069507	 +0.191602
4382475	 +0.017526	 +0.018329	 +0.024000	 +0.000892	 +0.000857	 +0.000816	 +3.077730	 +0.069501	 +0.191622
4387476	 +0.017516	 +0.018323	 +0.024036	 +0.000892	 +0.000857	 +0.000816	 +3.077713	 +0.069495	 +0.191641
4392475	 +0.017512	 +0.018311	 +0.024043	 +0.000892	 +0.000857	 +0.000816	 +3.077684	 +0.069489	 +0.191660
4397475	 +0.017511	 +0.018288	 +0.024050	 +0.000892	 +0.000857	 +0.000816	 +3.077642	 +0.069483	 +0.191678
4402475	 +0.017512	 +0.018287	 +0.024054	 +0.000892	 +0.000857	 +0.000814	 +3.077589	 +0.069475	 +0.191695
4402475	 +0.017512	 +0.018287	 +0.024054	 +0.000892	 +0.000857	 +0.000814	 +3.077589	 +0.069475	 +0.191695
4407475	 +0.017486	 +0.018319	 +0.024049	 +0.000892	 +0.000857	 +0.000814	 +3.077523	 +0.069468	 +0.191712
4412474	 +0.017476	 +0.018321	 +0.024039	 +0.000893	 +0.000857	 +0.000813	 +3.077445	 +0.069460	 +0.191728
4417475	 +0.017484	 +0.018292	 +0.024054	 +0.000893	 +0.000856	 +0.000813	 +3.077355	 +0.069452	 +0.191744
4422475	 +0.017477	 +0.018268	 +0.024037	 +0.000893	 +0.000859	 +0.000813	 +3.077252	 +0.069443	 +0.191759
4427475	 +0.017468	 +0.018269	 +0.024055	 +0.000893	 +0.000859	 +0.000813	 +3.077138	 +0.069434	 +0.191773
4432475	 +0.017464	 +0.018257	 +0.024105	 +0.000893	 +0.000859	 +0.000813	 +3.077011	 +0.069424	 +0.191787
4437475	 +0.017471	 +0.018268	 +0.024152	 +0.000892	 +0.000859	 +0.000813	 +3.076872	 +0.069414	 +0.191800
4442475	 +0.017471	 +0.018264	 +0.024159	 +0.000891	 +0.000859	 +0.000814	 +3.076721	 +0.069403	 +0.191812
4447475	 +0.017463	 +0.018357	 +0.024159	 +0.000891	 +0.000859	 +0.000815	 +3.076557	 +0.069392	 +0.191824
4452476	 +0.017459	 +0.018375	 +0.024152	 +0.000891	 +0.000859	 +0.000815	 +3.076382	 +0.069381	 +0.191835
4457475	 +0.017463	 +0.018382	 +0.024144	 +0.000891	 +0.000859	 +0.000815	 +3.076194	 +0.069369	 +0.191845
