Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]	Vx [m/s]	Vy [m/s]	Vz [m/s]
4542469	 +2.533468	 -5.904636	 -7.584393	 -0.006081	 +0.001861	 +0.000204	 -0.143997	 +0.691720	 -1.851839	 -86.253627	 +24.324833	 +22.612818
4547469	 +2.551858	 -5.902002	 -7.565496	 -0.005863	 +0.001103	 +0.000005	 -0.144247	 +0.691689	 -1.852275	 -86.282486	 +24.346702	 +22.630938
4552469	 +2.554487	 -5.902506	 -7.554846	 -0.006063	 +0.002079	 +0.001086	 -0.144493	 +0.691663	 -1.852705	 -86.311353	 +24.368535	 +22.649097
4557469	 +2.557620	 -5.919233	 -7.594750	 -0.006917	 +0.002510	 +0.000139	 -0.144748	 +0.691638	 -1.853142	 -86.340297	 +24.390510	 +22.667109
4562469	 +2.544684	 -5.919260	 -7.570772	 -0.007418	 +0.003267	 +0.000311	 -0.145006	 +0.691617	 -1.853578	 -86.369231	 +24.412464	 +22.685259
4567462	 +2.553399	 -5.931410	 -7.533812	 -0.007057	 +0.002988	 +0.000252	 -0.145261	 +0.691595	 -1.854014	 -86.398238	 +24.434288	 +22.703535
4572469	 +2.552671	 -5.903766	 -7.547038	 -0.006503	 +0.002603	 +0.000922	 -0.145511	 +0.691571	 -1.854446	 -86.427106	 +24.456139	 +22.721755
4577469	 +2.551453	 -5.916253	 -7.566625	 -0.006892	 +0.003481	 +0.000137	 -0.145766	 +0.691551	 -1.854884	 -86.456033	 +24.478080	 +22.739918
4582469	 +2.546609	 -5.901263	 -7.593414	 -0.007229	 +0.002148	 -0.000856	 -0.146027	 +0.691523	 -1.855326	 -86.484876	 +24.500118	 +22.757991
4587469	 +2.546586	 -5.890794	 -7.569820	 -0.006424	 +0.001737	 -0.001117	 -0.146284	 +0.691493	 -1.855770	 -86.513675	 +24.522081	 +22.776155
4592469	 +2.545450	 -5.899838	 -7.594607	 -0.004825	 +0.002742	 +0.000366	 -0.146527	 +0.691469	 -1.856205	 -86.542511	 +24.544145	 +22.794239
4597469	 +2.558206	 -5.931068	 -7.575182	 -0.006342	 +0.000982	 +0.000852	 -0.146776	 +0.691437	 -1.856636	 -86.571517	 +24.566137	 +22.812381
4602469	 +2.534078	 -5.911802	 -7.596553	 -0.005815	 +0.002528	 -0.001251	 -0.147031	 +0.691411	 -1.857081	 -86.600396	 +24.588278	 +22.830513
