Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]	Vx [m/s]	Vy [m/s]	Vz [m/s]
928468	 -0.041802	 -7.030704	 -6.984234	 -0.004706	 +0.002492	 +0.000699	 +0.693661	 +0.535296	 +0.158039	 -37.481831	 -5.238187	 +27.087122
933469	 -0.026959	 -7.048853	 -6.981353	 -0.005744	 +0.001709	 -0.000506	 +0.693533	 +0.535455	 +0.157698	 -37.504930	 -5.239969	 +27.101713
938462	 -0.036138	 -7.052307	 -6.976743	 -0.005723	 +0.002219	 +0.000574	 +0.693408	 +0.535612	 +0.157364	 -37.528069	 -5.241784	 +27.116338
943462	 -0.021813	 -7.060835	 -6.958448	 -0.005934	 +0.002044	 -0.000195	 +0.693280	 +0.535770	 +0.157026	 -37.551116	 -5.243674	 +27.130966
948469	 +0.001704	 -7.043679	 -7.013914	 -0.007208	 +0.001441	 +0.000589	 +0.693146	 +0.535924	 +0.156688	 -37.574188	 -5.245320	 +27.145401
953462	 -0.017959	 -7.041508	 -6.988814	 -0.006914	 +0.002904	 +0.000595	 +0.693016	 +0.536084	 +0.156357	 -37.597282	 -5.247040	 +27.159979
958462	 -0.033569	 -7.060930	 -6.996574	 -0.005092	 +0.001615	 +0.000333	 +0.692892	 +0.536239	 +0.156019	 -37.620486	 -5.248825	 +27.174521
963463	 -0.035961	 -7.041049	 -6.982416	 -0.005398	 +0.001254	 +0.000231	 +0.692766	 +0.536393	 +0.155679	 -37.643653	 -5.250570	 +27.189174
968462	 -0.028765	 -7.072580	 -7.013060	 -0.005563	 +0.001644	 -0.000702	 +0.692638	 +0.536552	 +0.155337	 -37.666901	 -5.252349	 +27.203624
973469	 -0.014088	 -7.036182	 -6.977813	 -0.006869	 +0.001922	 +0.000991	 +0.692507	 +0.536706	 +0.155003	 -37.689969	 -5.254069	 +27.218256
978462	 +0.000341	 -7.020391	 -6.978257	 -0.005835	 +0.001544	 +0.000126	 +0.692378	 +0.536861	 +0.154663	 -37.712967	 -5.255712	 +27.232896
983469	 -0.025664	 -7.039963	 -7.009276	 -0.005917	 +0.002088	 -0.000343	 +0.692250	 +0.537020	 +0.154324	 -37.736174	 -5.257362	 +27.247450
988469	 -0.024850	 -7.058266	 -6.998192	 -0.006546	 +0.002269	 -0.000637	 +0.692117	 +0.537181	 +0.153984	 -37.759376	 -5.259116	 +27.261992
993469	 -0.037514	 -7.049807	 -7.006357	 -0.005773	 +0.002036	 -0.000126	 +0.691989	 +0.537339	 +0.153645	 -37.782647	 -5.260818	 +27.276567
998469	 -0.003722	 -7.051889	 -6.982442	 -0.006161	 +0.002268	 -0.000524	 +0.691859	 +0.537499	 +0.153305	 -37.805723	 -5.262573	 +27.291132
1003470	 -0.034433	 -7.063039	 -6.983319	 -0.007248	 +0.002853	 -0.000862	 +0.691723	 +0.537663	 +0.152966	 -37.828949	 -5.264390	 +27.305746
1008469	 -0.036863	 -7.057423	 -6.999148	 -0.006660	 +0.001869	 +0.001011	 +0.691593	 +0.537816	 +0.152632	 -37.852222	 -5.266138	 +27.320333
1008469	 -0.036863	 -7.057423	 -6.999148	 -0.006660	 +0.001869	 +0.001011	 +0.691593	 +0.537816	 +0.152632	 -37.852222	 -5.266138	 +27.320333
1013469	 -0.030440	 -7.076921	 -7.016399	 -0.007149	 +0.002777	 -0.000008	 +0.691460	 +0.537977	 +0.152296	 -37.875536	 -5.267911	 +27.334796
1018469	 -0.042443	 -7.053958	 -6.993684	 -0.006544	 +0.002741	 -0.000860	 +0.691327	 +0.538140	 +0.151957	 -37.898828	 -5.269662	 +27.349431
1023469	 -0.042181	 -7.040512	 -7.001335	 -0.006792	 +0.002349	 -0.000580	 +0.691193	 +0.538300	 +0.151617	 -37.922129	 -5.271334	 +27.364081
1028469	 -0.040864	 -7.025789	 -7.034089	 -0.006826	 +0.002158	 +0.000134	 +0.691060	 +0.538457	 +0.151279	 -37.945493	 -5.272851	 +27.378663
1033469	 +0.003162	 -7.042743	 -6.974585	 -0.007700	 +0.001756	 +0.000046	 +0.690922	 +0.538614	 +0.150940	 -37.968549	 -5.274576	 +27.393285
1038469	 -0.036238	 -7.053717	 -7.016672	 -0.007030	 +0.002071	 +0.000223	 +0.690788	 +0.538770	 +0.150602	 -37.991891	 -5.276250	 +27.407843
1043469	 -0.042076	 -7.040415	 -6.994478	 -0.006289	 +0.002573	 +0.001372	 +0.690661	 +0.538925	 +0.150271	 -38.015195	 -5.277935	 +27.422529
1048469	 -0.025606	 -7.048263	 -6.996442	 -0.008399	 +0.002655	 +0.000063	 +0.690521	 +0.539085	 +0.149935	 -38.038447	 -5.279635	 +27.437149
1053469	 -0.029665	 -7.048806	 -6.996949	 -0.007498	 +0.001841	 +0.000390	 +0.690385	 +0.539240	 +0.149597	 -38.061724	 -5.281336	 +27.451779
1058469	 -0.040019	 -7.052163	 -6.987847	 -0.007911	 +0.001529	 +0.000066	 +0.690245	 +0.539395	 +0.149257	 -38.085034	 -5.283082	 +27.466461
1063469	 -0.015555	 -7.060069	 -6.981144	 -0.007319	 +0.001144	 +0.000290	 +0.690107	 +0.539548	 +0.148916	 -38.108235	 -5.284862	 +27.481083
1068469	 -0.025726	 -7.045102	 -6.971423	 -0.006423	 +0.003543	 +0.000581	 +0.689979	 +0.539709	 +0.148585	 -38.131444	 -5.286615	 +27.495807
1073487	 -0.009479	 -7.071652	 -6.983302	 -0.006745	 +0.002336	 +0.000352	 +0.689847	 +0.539866	 +0.148249	 -38.154647	 -5.288429	 +27.510381
