Message ID	Frame counter	Reserved	Message length	GNSS Week Number	GNSS TOW	Timestamp [us]	Bias AccX [m/s²]	Bias AccY [m/s²	]Bias AccZ [m/s²]	Bias OmgX [°/s]	Bias OmgY [°/s]	Bias OmgZ [°/s]	Cov. Longitude [(deg)²]	Cov. Latitude [(deg)²]	Cov. Altitude [(m)²]	Cov. V_North [(m/s)²]	Cov. V_East [(m/s)²]	Cov. V_Down [(m/s)²]	Cov. Roll [(deg²)]	Cov. Pitch [(deg²)]	Cov. Yaw [(deg²)]	Cov. Bias AccX [(m/s²)²]	Cov. Bias AccY [(m/s²)²]	Cov. Bias AccZ [(m/s²)²]	Cov. Bias OmgX [(deg/s)²]	Cov. Bias OmgY [(deg/s)²]	Cov. Bias OmgZ [(deg/s)²]	Reserved
4	 34	 0	 104	 0	 1571000	 1008469	 +0.4456	 -2.0535	 -0.3936	 -0.8553	 +0.8489	 +3.7143	 7.008215e-14	 5.702605e-14	 1.999215e+00	 3.708891e-02	 2.812012e-02	 1.039588e-02	 3.963772e-06	 4.894406e-06	 8.891274e-06	 4.323756e-06	 2.938080e-06	 1.043781e-06	 9.642502e-10	 9.272202e-10	 1.007969e-09	 0
4	 35	 0	 104	 0	 1572000	 2008469	 +0.4425	 -2.0499	 -0.3914	 -0.8507	 +0.8520	 +3.7149	 7.230121e-14	 5.684216e-14	 1.996903e+00	 3.831505e-02	 2.758722e-02	 1.078880e-02	 4.029821e-06	 4.894820e-06	 8.910602e-06	 4.322064e-06	 2.934424e-06	 1.043651e-06	 9.620501e-10	 9.272813e-10	 1.008721e-09	 0
4	 36	 0	 104	 0	 1573000	 3008462	 +0.4390	 -2.0466	 -0.3892	 -0.8456	 +0.8551	 +3.7153	 7.427746e-14	 5.668729e-14	 1.996281e+00	 3.920174e-02	 2.712173e-02	 1.116266e-02	 4.114161e-06	 4.875129e-06	 8.935583e-06	 4.320083e-06	 2.931001e-06	 1.043561e-06	 9.595965e-10	 9.273915e-10	 1.009516e-09	 0
4	 37	 0	 104	 0	 1574000	 4008469	 +0.4353	 -2.0435	 -0.3872	 -0.8399	 +0.8583	 +3.7155	 7.597158e-14	 5.655680e-14	 1.996937e+00	 3.977736e-02	 2.669950e-02	 1.149219e-02	 4.212388e-06	 4.840141e-06	 8.967923e-06	 4.317867e-06	 2.927720e-06	 1.043496e-06	 9.569661e-10	 9.275368e-10	 1.010354e-09	 0
4	 38	 0	 104	 0	 1575000	 5008463	 +0.4313	 -2.0408	 -0.3852	 -0.8340	 +0.8616	 +3.7155	 7.736893e-14	 5.644655e-14	 1.998459e+00	 4.009382e-02	 2.631274e-02	 1.176529e-02	 4.320701e-06	 4.794917e-06	 9.009412e-06	 4.315476e-06	 2.924481e-06	 1.043443e-06	 9.542327e-10	 9.277061e-10	 1.011238e-09	 0
4	 39	 0	 104	 0	 1576000	 6008469	 +0.4273	 -2.0384	 -0.3834	 -0.8280	 +0.8649	 +3.7154	 7.847662e-14	 5.635297e-14	 2.000470e+00	 4.021687e-02	 2.594914e-02	 1.196741e-02	 4.435781e-06	 4.744410e-06	 9.061924e-06	 4.312968e-06	 2.921183e-06	 1.043386e-06	 9.514605e-10	 9.278913e-10	 1.012173e-09	 0
4	 40	 0	 104	 0	 1577000	 7008469	 +0.4233	 -2.0365	 -0.3818	 -0.8220	 +0.8684	 +3.7152	 7.931924e-14	 5.627270e-14	 2.002625e+00	 4.019982e-02	 2.560088e-02	 1.209523e-02	 4.554557e-06	 4.693133e-06	 9.127671e-06	 4.310397e-06	 2.917724e-06	 1.043308e-06	 9.487037e-10	 9.280872e-10	 1.013161e-09	 0
4	 41	 0	 104	 0	 1578000	 8008469	 +0.4194	 -2.0349	 -0.3802	 -0.8161	 +0.8720	 +3.7149	 7.992882e-14	 5.620305e-14	 2.004653e+00	 4.008216e-02	 2.526640e-02	 1.215783e-02	 4.674328e-06	 4.644387e-06	 9.207998e-06	 4.307800e-06	 2.914019e-06	 1.043194e-06	 9.460001e-10	 9.282884e-10	 1.014203e-09	 0
4	 42	 0	 104	 0	 1579000	 9008469	 +0.4154	 -2.0336	 -0.3788	 -0.8103	 +0.8757	 +3.7145	 8.034236e-14	 5.614164e-14	 2.006349e+00	 3.992434e-02	 2.495379e-02	 1.216429e-02	 4.792729e-06	 4.600773e-06	 9.303883e-06	 4.305199e-06	 2.909995e-06	 1.043032e-06	 9.433754e-10	 9.284908e-10	 1.015297e-09	 0
4	 43	 0	 104	 0	 1580000	 8469	 +0.4115	 -2.0326	 -0.3775	 -0.8046	 +0.8795	 +3.7141	 8.059865e-14	 5.608662e-14	 2.007573e+00	 3.975943e-02	 2.465628e-02	 1.211847e-02	 4.907579e-06	 4.564096e-06	 9.415949e-06	 4.302608e-06	 2.905589e-06	 1.042811e-06	 9.408450e-10	 9.286898e-10	 1.016439e-09	 0
